"default.res","default.nb_it","default.error"
37420.218328633,533,2.2263780599553e-16
37385.7752306127,533,2.2263780599553e-16
37494.3018419394,533,2.2263780599553e-16
37494.6666611373,533,2.2263780599553e-16
37463.7660803699,533,2.2263780599553e-16
37434.2682238677,533,2.2263780599553e-16
37495.459224323,533,2.2263780599553e-16
37467.9258931793,533,2.2263780599553e-16
37436.6023798904,533,2.2263780599553e-16
37479.1415248971,533,2.2263780599553e-16
37452.5902262499,533,2.2263780599553e-16
37510.1435849188,533,2.2263780599553e-16
37431.1030216428,533,2.2263780599553e-16
37525.8050454731,533,2.2263780599553e-16
37478.9758119606,533,2.2263780599553e-16
37523.0569465944,533,2.2263780599553e-16
37524.8532887746,533,2.2263780599553e-16
37470.4567972797,533,2.2263780599553e-16
37461.9557778868,533,2.2263780599553e-16
37524.7830169882,533,2.2263780599553e-16
37526.6248595476,533,2.2263780599553e-16
37359.6398948133,533,2.2263780599553e-16
37379.1806824967,533,2.2263780599553e-16
37506.6863885142,533,2.2263780599553e-16
37515.0204254072,533,2.2263780599553e-16
37524.1679771867,533,2.2263780599553e-16
37381.7562587017,533,2.2263780599553e-16
37438.5831994382,533,2.2263780599553e-16
37473.226471826,533,2.2263780599553e-16
37505.6286176677,533,2.2263780599553e-16
37482.4390724429,533,2.2263780599553e-16
37518.9785849166,533,2.2263780599553e-16
36911.7693376672,533,2.2263780599553e-16
37378.9510231676,533,2.2263780599553e-16
37491.5741818811,533,2.2263780599553e-16
37525.2099527025,533,2.2263780599553e-16
37448.6147580623,533,2.2263780599553e-16
37519.855968024,533,2.2263780599553e-16
37381.2490747332,533,2.2263780599553e-16
37516.2989622404,533,2.2263780599553e-16
37384.7916959924,533,2.2263780599553e-16
37373.1151426674,533,2.2263780599553e-16
37418.4603582797,533,2.2263780599553e-16
37444.5772612956,533,2.2263780599553e-16
37446.3501319911,533,2.2263780599553e-16
37382.1011273027,533,2.2263780599553e-16
37435.1596788797,533,2.2263780599553e-16
37341.0872502569,533,2.2263780599553e-16
37400.169909076,533,2.2263780599553e-16
37439.8041165296,533,2.2263780599553e-16
37401.8415962086,533,2.2263780599553e-16
37524.2441584833,533,2.2263780599553e-16
37516.2971994367,533,2.2263780599553e-16
37376.4717001416,533,2.2263780599553e-16
37524.9083669334,533,2.2263780599553e-16
37415.6805486778,533,2.2263780599553e-16
37507.1585963712,533,2.2263780599553e-16
37412.3167698182,533,2.2263780599553e-16
37393.4193166797,533,2.2263780599553e-16
37447.4419575324,533,2.2263780599553e-16
37352.9836276801,533,2.2263780599553e-16
37510.5626726877,533,2.2263780599553e-16
37390.9182234817,533,2.2263780599553e-16
37524.3125271429,533,2.2263780599553e-16
37387.0173582309,533,2.2263780599553e-16
37470.9243396912,533,2.2263780599553e-16
37349.7887985051,533,2.2263780599553e-16
37342.0121664003,533,2.2263780599553e-16
37484.7560689361,533,2.2263780599553e-16
37373.3051333045,533,2.2263780599553e-16
37384.6501624138,533,2.2263780599553e-16
37462.6108714473,533,2.2263780599553e-16
37434.009728318,533,2.2263780599553e-16
37495.1306700968,533,2.2263780599553e-16
37399.4388721235,533,2.2263780599553e-16
37431.5079272201,533,2.2263780599553e-16
37498.4416156677,533,2.2263780599553e-16
37500.5751416766,533,2.2263780599553e-16
37520.5996158498,533,2.2263780599553e-16
37522.5879099769,533,2.2263780599553e-16
37517.2646621583,533,2.2263780599553e-16
37523.0636931335,533,2.2263780599553e-16
37339.5503250138,533,2.2263780599553e-16
37457.4943673172,533,2.2263780599553e-16
37509.0786796977,533,2.2263780599553e-16
37441.5487665883,533,2.2263780599553e-16
37495.844250605,533,2.2263780599553e-16
37515.1468012297,533,2.2263780599553e-16
37464.1287773774,533,2.2263780599553e-16
37389.2869524167,533,2.2263780599553e-16
37486.6172139794,533,2.2263780599553e-16
37462.5124285252,533,2.2263780599553e-16
37397.4982640138,533,2.2263780599553e-16
37502.1424547872,533,2.2263780599553e-16
37482.3672662093,533,2.2263780599553e-16
37527.9637810208,533,2.2263780599553e-16
37525.0121939442,533,2.2263780599553e-16
37478.9761895274,533,2.2263780599553e-16
37508.6823229801,533,2.2263780599553e-16
37504.7285705186,533,2.2263780599553e-16
37505.9867087895,533,2.2263780599553e-16
37384.0478108799,533,2.2263780599553e-16
37502.1055935139,533,2.2263780599553e-16
37439.3285422866,533,2.2263780599553e-16
37464.0764882992,533,2.2263780599553e-16
37520.9757698546,533,2.2263780599553e-16
37482.2276503697,533,2.2263780599553e-16
37520.2147580509,533,2.2263780599553e-16
37430.8419046906,533,2.2263780599553e-16
37524.4414803373,533,2.2263780599553e-16
37465.164030592,533,2.2263780599553e-16
37463.243836058,533,2.2263780599553e-16
37482.1875739695,533,2.2263780599553e-16
37451.6866641238,533,2.2263780599553e-16
37516.1778122989,533,2.2263780599553e-16
37420.2687224454,533,2.2263780599553e-16
37404.5334259727,533,2.2263780599553e-16
37422.6031194088,533,2.2263780599553e-16
37395.3009625721,533,2.2263780599553e-16
37494.2975555032,533,2.2263780599553e-16
37505.3740617394,533,2.2263780599553e-16
37521.6717692948,533,2.2263780599553e-16
37520.5158782268,533,2.2263780599553e-16
37524.4597358964,533,2.2263780599553e-16
37369.9258498253,533,2.2263780599553e-16
37522.4801801492,533,2.2263780599553e-16
37514.745370873,533,2.2263780599553e-16
37378.7080845245,533,2.2263780599553e-16
37508.1138017105,533,2.2263780599553e-16
37486.6072321102,533,2.2263780599553e-16
37515.0968055307,533,2.2263780599553e-16
37456.2234402072,533,2.2263780599553e-16
37419.1166816614,533,2.2263780599553e-16
37379.8370038779,533,2.2263780599553e-16
37513.7972243174,533,2.2263780599553e-16
37457.9652164576,533,2.2263780599553e-16
37410.0364142506,533,2.2263780599553e-16
37505.0765207958,533,2.2263780599553e-16
37438.915359883,533,2.2263780599553e-16
37508.902619904,533,2.2263780599553e-16
37517.9098649688,533,2.2263780599553e-16
37504.6286851051,533,2.2263780599553e-16
37457.2737269498,533,2.2263780599553e-16
37464.1658184984,533,2.2263780599553e-16
37457.4889888939,533,2.2263780599553e-16
37474.0760537636,533,2.2263780599553e-16
37457.6329695277,533,2.2263780599553e-16
37483.2736525264,533,2.2263780599553e-16
37381.4979618065,533,2.2263780599553e-16
37465.2747970422,533,2.2263780599553e-16
37528.6376003092,533,2.2263780599553e-16
37437.2990677941,533,2.2263780599553e-16
37451.7633014001,533,2.2263780599553e-16
37510.5981363906,533,2.2263780599553e-16
37420.1891965702,533,2.2263780599553e-16
37480.2025393191,533,2.2263780599553e-16
37456.821337077,533,2.2263780599553e-16
37375.3206892826,533,2.2263780599553e-16
37456.9881162539,533,2.2263780599553e-16
37498.3837834738,533,2.2263780599553e-16
37506.2801061257,533,2.2263780599553e-16
37373.8522827917,533,2.2263780599553e-16
37505.3734299388,533,2.2263780599553e-16
37432.3505353353,533,2.2263780599553e-16
37521.9510619869,533,2.2263780599553e-16
37521.9935318038,533,2.2263780599553e-16
37455.4793454316,533,2.2263780599553e-16
37511.6583918032,533,2.2263780599553e-16
37359.4009280356,533,2.2263780599553e-16
37415.8798602017,533,2.2263780599553e-16
37474.7169674692,533,2.2263780599553e-16
37448.5843482999,533,2.2263780599553e-16
37441.7515281732,533,2.2263780599553e-16
37405.1945523865,533,2.2263780599553e-16
37408.2159695402,533,2.2263780599553e-16
37404.9906844905,533,2.2263780599553e-16
37407.6933435422,533,2.2263780599553e-16
37469.9841459291,533,2.2263780599553e-16
37530.7457530492,533,2.2263780599553e-16
37497.680846436,533,2.2263780599553e-16
37387.847425013,533,2.2263780599553e-16
37493.0359636171,533,2.2263780599553e-16
37512.6866850535,533,2.2263780599553e-16
37421.7530179371,533,2.2263780599553e-16
37419.4686029238,533,2.2263780599553e-16
37517.7753503964,533,2.2263780599553e-16
37484.0835341794,533,2.2263780599553e-16
37524.1001846833,533,2.2263780599553e-16
37429.1200132438,533,2.2263780599553e-16
37418.8544140324,533,2.2263780599553e-16
37519.6922795152,533,2.2263780599553e-16
37525.6220184903,533,2.2263780599553e-16
37456.7471576422,533,2.2263780599553e-16
37523.5564401017,533,2.2263780599553e-16
37512.9373968997,533,2.2263780599553e-16
37449.5276402336,533,2.2263780599553e-16
37447.5134858475,533,2.2263780599553e-16
37522.6883316284,533,2.2263780599553e-16
37444.6725146531,533,2.2263780599553e-16
37471.2181110573,533,2.2263780599553e-16
37522.1378666503,533,2.2263780599553e-16
37415.3276807351,533,2.2263780599553e-16
37494.6119665246,533,2.2263780599553e-16
37528.5872126586,533,2.2263780599553e-16
37505.7421139589,533,2.2263780599553e-16
37409.8364024783,533,2.2263780599553e-16
37524.0329263511,533,2.2263780599553e-16
37493.4470880633,533,2.2263780599553e-16
37427.2291034912,533,2.2263780599553e-16
37512.7061246109,533,2.2263780599553e-16
37478.518410221,533,2.2263780599553e-16
37522.1292413892,533,2.2263780599553e-16
37466.5103561351,533,2.2263780599553e-16
37420.2124126444,533,2.2263780599553e-16
37474.2194828627,533,2.2263780599553e-16
37497.6861581423,533,2.2263780599553e-16
37485.8555374613,533,2.2263780599553e-16
37499.9601085542,533,2.2263780599553e-16
37523.1906729454,533,2.2263780599553e-16
37499.456394212,533,2.2263780599553e-16
37513.4704732507,533,2.2263780599553e-16
37523.1480614388,533,2.2263780599553e-16
37516.4415269131,533,2.2263780599553e-16
37523.5697848839,533,2.2263780599553e-16
37474.5673784333,533,2.2263780599553e-16
37526.9526586161,533,2.2263780599553e-16
37520.0977480089,533,2.2263780599553e-16
37524.0239312722,533,2.2263780599553e-16
37412.767153076,533,2.2263780599553e-16
37498.0169589869,533,2.2263780599553e-16
37492.3394932403,533,2.2263780599553e-16
37521.6955130401,533,2.2263780599553e-16
37318.5858068963,533,2.2263780599553e-16
37512.4671797249,533,2.2263780599553e-16
37426.200421511,533,2.2263780599553e-16
37463.3870836588,533,2.2263780599553e-16
37332.243673236,533,2.2263780599553e-16
37499.5690510978,533,2.2263780599553e-16
37520.9113653283,533,2.2263780599553e-16
37380.7515322744,533,2.2263780599553e-16
37514.7565173951,533,2.2263780599553e-16
37523.5725968254,533,2.2263780599553e-16
37469.0726290379,533,2.2263780599553e-16
37503.9018712142,533,2.2263780599553e-16
37424.5277445314,533,2.2263780599553e-16
37463.2263319565,533,2.2263780599553e-16
37458.0048803962,533,2.2263780599553e-16
37367.1872024188,533,2.2263780599553e-16
37523.1641258859,533,2.2263780599553e-16
37428.107856447,533,2.2263780599553e-16
37416.9011921773,533,2.2263780599553e-16
37521.1194895846,533,2.2263780599553e-16
37514.530588669,533,2.2263780599553e-16
37526.5998047929,533,2.2263780599553e-16
37330.7254297102,533,2.2263780599553e-16
37409.8803383033,533,2.2263780599553e-16
37457.660153521,533,2.2263780599553e-16
37494.0170569113,533,2.2263780599553e-16
37509.913960607,533,2.2263780599553e-16
37506.085062852,533,2.2263780599553e-16
37512.2125531506,533,2.2263780599553e-16
